address,message_count,project_count,oaps_count,active_day_count,first_date,last_date,total_swapped_usd,swap_count,average_swapped_usd
0x4f6daffc546b1460d3359d5c008147ac5f988a59,48,15,30,24,2023-09-01,2024-04-24,6420.408657143998,9,713.3787396826665
0x3fd7f98a19e0342590309cc2b0594e85693c50e0,55,16,34,25,2023-09-01,2024-04-22,17344.623669305,17,1020.271980547353
0x8b2956248bf68502b8a54dc01e573c16096b94d6,56,15,31,24,2023-09-01,2024-04-28,17792.357513060997,18,988.4643062811665
0x0173c73ca623c808b68e9b98cbdaf2f2a6ca23c8,45,15,29,24,2023-09-01,2024-04-28,7774.799620256999,10,777.4799620256999
0x9529dea686419a6b1f07f3d4541c33a29b49ccde,63,16,35,27,2023-09-01,2024-04-26,16459.589212923,18,914.4216229401668
0xf48455a123c09c59db5c5d2f65591b6f1ae9443f,49,16,30,24,2023-09-01,2024-04-24,15681.596536628997,14,1120.1140383306426
0xbd7af6f5365174fafc3297d87953617d27ddbbe9,53,14,31,25,2023-09-01,2024-04-24,17150.138928258,15,1143.3425952172
0xdd011fc335ce03eb7f7539c4782ed6b93a311f1e,64,14,35,26,2023-09-01,2024-04-28,18276.57190789841,21,870.3129479951624
0x5580cc0016fc3dfc20ed7a0345ae6624e3e702e6,53,14,31,27,2023-09-01,2024-04-24,17176.499768530997,15,1145.0999845687331
0xab6b55910beb7eb9d7d4d57d19598a9d42b83323,53,15,29,27,2023-09-01,2024-04-28,18184.537123582002,15,1212.3024749054669
0x598e08aef0972faabef9a1416eff43077ffad487,49,15,33,25,2023-09-02,2024-04-24,10037.495414607001,10,1003.7495414607001
0x1ce4d3a2905ffde06aad86536e9b0ff548bfcd9a,48,15,32,25,2023-08-31,2024-04-24,6818.239094323,10,681.8239094323001
0x5d358ffef089a0e51253d5a736f4d063b0fed236,60,17,36,28,2023-09-02,2024-04-28,20579.743090286007,21,979.9877662040956
0x3612273192c4f98c28bf574ad6006657c9a6d5e8,47,15,31,25,2023-09-01,2024-04-28,6818.556500043,9,757.6173888936667
0xc7b5568f3179bf99671049315b2d5f81398280bc,75,16,37,24,2023-09-01,2024-04-28,15438.442347618,28,551.3729409863571
0x58cc0e7e4273cecf4aa8a748bb6277a209322d41,49,16,35,28,2023-09-01,2024-04-28,12813.235780138,12,1067.7696483448333
0x81be746978ffab18c97e4fd361f035a794f847e6,51,16,34,24,2023-08-31,2024-04-24,10337.975831565,11,939.8159846877272
0x1cbfb8e00d7802ee8e7d52da3f0a20f1971dc802,59,16,33,26,2023-09-01,2024-04-28,21308.983144656,21,1014.713483078857
0x45487384181405ba3670eee161bb1a77c44d0807,46,16,32,24,2023-09-01,2024-04-24,5099.278441846999,8,637.4098052308749
0x740935d1d2815f6fdc3a700e26333aa430a2153e,61,16,38,26,2023-09-01,2024-04-24,15818.051953935,20,790.90259769675
0xe539b07313d8c56c7b1328b8e95fd34cdf9ab0c2,45,14,32,25,2023-09-01,2024-04-28,5607.658788291001,8,700.9573485363751
0x17cd920a1c5fc79400c207f3cd0a479bb2123d5f,57,16,30,21,2023-09-01,2024-04-28,16311.530019541002,19,858.5015799758422
0x765bdabd4cbf408ffe41fbf41962b2017edc0557,62,17,35,27,2023-09-01,2024-04-24,18398.674257688002,20,919.9337128844002
0x49ab3967f4694289474077c977943d83ca157809,54,15,28,27,2023-09-01,2024-04-24,17742.579616037998,16,1108.9112260023749
0x01cffad9fb7f3d90b469e3c17e44a7f131fea0e8,67,16,34,24,2023-08-31,2024-04-24,17358.8737322185,20,867.943686610925
