address,transaction_count,total_volume,average_volume
0x01b3893b2dbe2712f9542194bd16c87b78c6ba1e,77,0.003954,0.000051
0x021756fa6142cc04cbe2063ef4cbbb18a6b3b6fb,87,0.005127,0.000059
0x021a5653cb487f70d0377ffeae5a93e3bf472e36,93,0.004984,0.000054
0x061f8e7f58f21690e9a4f46b1779a42552df10f8,81,0.003985,0.000049
0x088f9a29d670084ac1fdb125a99c43e885aa2c67,62,0.003226,0.000052
0x09286973dcde73d51805af9ada7b05831b2495dd,87,0.004861,0.000056
0x0c1a3c409380197feb738bbada84fc9beeea937a,86,0.004632,0.000054
0x0c9697e42705f5996e7159e4a4d5ef7e4043c6fd,82,0.004253,0.000052
0x1534dd09d861baa8e8d0920f0a0bd32cb04d6a84,61,0.003197,0.000052
0x15aa7e983b1c78709c6adfc5228263388aeefe58,80,0.004172,0.000052
0x169ee29287dfe53d7c2b2aa18d0f8e9d34635ab9,81,0.004017,0.000050
0x17a672e14ac7b839670cf349f54cb45b628ceaf6,74,0.003658,0.000049
0x17e46da13f869890a23b0a318e3245e0eb415fd5,84,0.00487,0.000058
0x17eb199699e2035db69a03dfdd0be96955effee2,103,0.005149,0.000050
0x18a0b6c9d523b50815cbbf6a6f96cb388d479b52,83,0.004642,0.000056
0x1a39a2a3523ab0a31d7b9a643dfcfcac7afd047c,93,0.005129,0.000055
0x24d5ad3ac38f7d33613b2cabbebc0c5d38ff767d,89,0.004787,0.000054
0x252092e45a4aa145e61187464e270ee409b37d3b,81,0.004592,0.000057
0x278c223097245652587dd9af4b6c5b8319f99930,92,0.005449,0.000059
0x2d1b0445a852e3a851c7379f2e5549d38f58bc8d,84,0.004508,0.000054
0x32654a14c8f078a2190690b82017ff6cfac129eb,91,0.004688,0.000052
0x36c5f128f47121e9b72a18d01ff868e1a27fd831,80,0.004638,0.000058
0x3821516a913faf3b5ea62d646fa7826a20d48689,85,0.004697,0.000055
0x3a0b0c18e247ace41f15893c81a7690045fbfe11,93,0.005087,0.000055
0x3b6fa70b302d04ffef523a6e83d15ea1b1cefe7f,69,0.003871,0.000056
0x3b7fb59a6163353a4cca5567a1c80551a6ee847f,76,0.003787,0.000050
0x3c9effe2cf5436649a069bfa1d416b7e289895ad,87,0.004748,0.000055
0x3d08a9bf3a421008387f6d9ce621dbc0c637bfa5,87,0.004697,0.000054
0x3d4ea6c55823d7da4b3303adc1d79938de1e013a,73,0.004154,0.000057
0x42207baccf14911aaaeccb0d7d4d370f4ef62c23,82,0.00474,0.000058
0x42e613214a1effea372d5fa605bdae239e66996b,83,0.004459,0.000054
0x431d91e1891cb7e472cc6c15fc23857c124c113b,69,0.003573,0.000052
0x45b57529cbd490685781f112edf990291b6f2152,85,0.004493,0.000053
0x47841ca054f96f4482664d9e91595d1507dac8e0,71,0.0038209999999999997,0.000054
0x498f111eb8afae7b2669195571e4a4f5a9a0ec44,79,0.004191,0.000053
0x4a38e75d91a6433a413df33c3114ad8ed9edd076,78,0.004159,0.000053
0x4b9e7c9880fb298b6df47b09cc23b2c0e144c563,90,0.004746,0.000053
0x4f0def0773aa0b39e096feb1f17e94002fcc1fa2,88,0.004861,0.000055
0x4fadecae3cde7d0ba38f8c4ce69b01f927f9ef31,74,0.003982,0.000054
0x522325183e7d5ce88dfea8577c5f627bd2ce9928,61,0.003209,0.000053
0x532af7f474702359742fc65160d0c0923ce27041,82,0.004642,0.000057
0x53787877d6f23ae12cb865bf391a8e4cbdf13ea8,89,0.005028,0.000056
0x53a338fadfb4e87731a7692b023a4abbfc1d4329,83,0.00452,0.000054
0x54ea867bbe3cc895e6d2685a33b2fc470921d9d2,69,0.003701,0.000054
0x561a0683bf56235e851b60a123253f9609696edc,88,0.004767,0.000054
0x56671aaef76021179a85fcb5ad8ec3f1f9a547a1,94,0.005288,0.000056
0x57abbe6f79d0f6c148bddc7eea06ccb29203df5a,85,0.004746,0.000056
0x580e2791938cb1069d029fd9c095cdadc7d4a8df,92,0.00533,0.000058
0x5f54737c55bafb3386e764895caa7dd0be5cec67,72,0.003696,0.000051
0x60ae0916ba4173ddfef66a2a6d82df19d2ab77b8,92,0.004798,0.000052
0x611bbfb269e16ac8d2404ed553a652cf21155495,82,0.004551,0.000056
0x63d77753a2e575ed2112932cfc1db962116cc7d4,88,0.004726,0.000054
0x648c73be3655fb34d6486ef15ce20968f37b196d,70,0.003859,0.000055
0x666ef2e35678440266b7e528d88bac015dfb005d,77,0.004124,0.000054
0x66e9cee2531c87f18bc830eba47ca2c7a9f7b311,94,0.005449,0.000058
0x6e7b8eb267beaca74e65a04b7e9ef165e85f1542,75,0.003825,0.000051
0x6e8397a20e56192972125d37a37b009c164f0610,91,0.004749,0.000052
0x6e97479ae11198c8d1b81be4cb242aa19e5be125,90,0.004419,0.000049
0x7073d7e1bab1541f74697d43a6cef128a299725c,87,0.004936,0.000057
0x7582b7f9d4760cd2cbe09bbab4ddb13658f8e43f,73,0.004018,0.000055
0x76ffba8493c0e7968a9f2e3eb52fb238ab48614f,95,0.00545,0.000057
0x7854f7d80b0f32be91d32f4648cfac9db146fa33,91,0.005001,0.000055
0x7b5cd497756f20e8a2b6ca5c1c797ed04c5827f1,74,0.004112,0.000056
0x7d02a7796976ac27d407353198755fb54dc80685,82,0.004333,0.000053
0x7ff803d3bb7cf1ac103d0704deb05434eb3cf920,97,0.005524,0.000057
0x809b7f58fb2d1b4410fca24a8c6974c93b1a1106,82,0.004454,0.000054
0x88e41e29524e31e898149fed176dea2fb99afad3,84,0.004477,0.000053
0x894a70aae6fa397956bc2065f7b9c2f2e4df2f67,79,0.004013,0.000051
0x8c6e951344466dff789bbd4716826cbe93727860,74,0.004023,0.000054
0x8ca8c0b1eec1456755724337fd7d2725dcf29d0c,77,0.004439,0.000058
0x9c46ac93a952cbcaf9100382ded7a90f60c2c1ea,96,0.00543,0.000057
0x9ec025cb8eefbe213afb407feb76e73299045b42,81,0.004829,0.000060
0x9fffd4bf20924271c65d392e848ae8eeaf49e295,76,0.00426,0.000056
0xa1ca7093bbd06cf340ff7a2c13f315f4544c5da6,69,0.003411,0.000049
0xa41304c0ea8bece61205dc5442e3d3d36cb1a4b2,90,0.0050739999999999995,0.000056
0xa7d77b57c99d57fc6c60e76efe63144379dd3817,103,0.00534,0.000052
0xa9ff20faa4db3141f695a93215ab75ff1f26243f,88,0.004906,0.000056
0xac5b008bf7e3fa9e4714983d317fb0452c66f675,96,0.005368,0.000056
0xaf33e197f34802be593c78aa4ba4b96ae4bf67cd,70,0.003947,0.000056
0xb25d2d852e2b4c073cc8be5dcb4fc605e64986c4,82,0.004075,0.000050
0xb9f4cb69f0614e66ce91194f327e3f2817fbfc06,86,0.004624,0.000054
0xbab9d069502bb57d4f8fe1baffada026cffe7d88,84,0.004429,0.000053
0xbb9b3ee10cf39b1f0b33c3fe2ef2ab014a2bb3c1,81,0.004549,0.000056
0xbde00543bcbaeb9f47c7a33809da4fd74daa1e22,92,0.004782,0.000052
0xc29aaddf55ee052fa55a109218e4ecc9e35d5e53,92,0.00461,0.000050
0xc3ee17fc87233e476ce4e566c3acdb5b6939f989,93,0.005339,0.000057
0xc59fdba78ead66d9415b99bc9192ad93e0e252b2,72,0.0037790000000000002,0.000052
0xc689d597415a4adb1cc2191fd05fc62d158e7093,82,0.004223,0.000052
0xca9d92c7f877b516958ada4b1dc10e770d2ffb0c,100,0.005071,0.000051
0xcaf269923b99ec68226d35f44bd444c0ea32c26c,80,0.004226,0.000053
0xcc2df34234bae3ec329cd1bc1e748e7a14f9b95d,94,0.005321,0.000057
0xccc8e507cfc6a6ddd723688c08d52a6d182ff656,79,0.0045709999999999995,0.000058
0xcf44308eae722f5a9cfa69e5c0d327e8af24e073,77,0.0047,0.000061
0xd3033eec0da1eeea8d60dd4a1fd96808d6261aa3,80,0.003913,0.000049
0xd64cd5d3e8dfc15756d64e7a5bb2de1c4cf9fa18,75,0.003812,0.000051
0xd8fad4adf3f00d003353cbe8d8022ccf221b8ca6,66,0.003449,0.000052
0xd9d199a354c556e2d12192531d8e32da8cbb7047,91,0.004687,0.000052
0xdd3861b7856c5f7e68c19c995088886766ff7778,68,0.003526,0.000052
0xe275578d2da7887fb0ff4b31400220725a655f2c,86,0.004499,0.000052
0xe2cb20c5b33856704e092a8a955b93e34f726a60,77,0.004133,0.000054
0xe4a1fb36f7ace90fa5dc17beb939334b7ccf3cd3,87,0.005178,0.000060
0xe50ad5a0a44ad719583a5aa41145b143ab60de93,90,0.005222,0.000058
0xe68411757f9ecf99b7ee63e667bed7ad040a79f1,79,0.004366,0.000055
0xedf59bf2556d67a6f99e26d71a3c0f4dcb58718d,93,0.005147,0.000055
0xee2e87857fce1f66bfc1628a979e5956a7dc812b,95,0.005031,0.000053
0xf2e3d55e64e573b9da18f34e990b7ba0a59bb406,80,0.00434,0.000054
0xf3825707b596fd211a2b152a48f6ad7bc2af6f6c,75,0.00436,0.000058
0xfd4224d06aba0443b969bc789eedb9eea02a7038,68,0.003781,0.000056
